cdc_id,title,landing_page
150969,"Coping With Discrimination Among African Americans With Type 2 Diabetes: Factor Structure and Associations With Diabetes Control, Mental Distress, and Psychosocial Resources",https://stacks.cdc.gov/view/cdc/150969
151083,"Prevalence of Testing for Diabetes Among US Adults With Overweight or Obesity, 2016–2019",https://stacks.cdc.gov/view/cdc/151083
151112,"Factors Influencing the Referral of Patients with Prediabetes to a Diabetes Prevention Program in the Bronx, New York",https://stacks.cdc.gov/view/cdc/151112
151110,"Trends and Predictors of Glycemic Control Among Adults With Type 2 Diabetes Covered by Alabama Medicaid, 2011–2019",https://stacks.cdc.gov/view/cdc/151110
151104,"Public Belief in the Maternal Health Benefits of Breastfeeding — United States, 2018 and 2021",https://stacks.cdc.gov/view/cdc/151104
151020,Development and Evaluation of the Delivery-Based HEALED Produce Rx Program for Uninsured Patients With Diabetes in Rural Eastern North Carolina,https://stacks.cdc.gov/view/cdc/151020
150999,Risk Prediction Score for Chronic Kidney Disease in Healthy Adults and Adults With Type 2 Diabetes: Systematic Review,https://stacks.cdc.gov/view/cdc/150999
150995,"“Make Stories That Will Always Be There”: Eagle Books’ Appeal, Sustainability, and Contributions to Public Health, 2006–2022",https://stacks.cdc.gov/view/cdc/150995
150982,Using Patient Profiles for Sustained Diabetes Management Among People With Type 2 Diabetes,https://stacks.cdc.gov/view/cdc/150982
120395,Urban–Rural Differences in Health Care Utilization and COVID-19 Outcomes in Patients With Type 2 Diabetes,https://stacks.cdc.gov/view/cdc/120395
113215,Type 2 Diabetes Among Filipino American Adults in the Multiethnic Cohort,https://stacks.cdc.gov/view/cdc/113215
84978,Evidence-Based Interventions for High Blood Pressure and Glycemic Control Among Illinois Health Systems,https://stacks.cdc.gov/view/cdc/84978
55292,Outcomes and Economic Benefits of Penn State Extension’s Dining With Diabetes Program,https://stacks.cdc.gov/view/cdc/55292
54001,Health Care Disparities Between Men and Women With Type 2 Diabetes,https://stacks.cdc.gov/view/cdc/54001
53200,When Should “Pre” Carry as Much Weight in the Diabetes Comorbidity Debate? Insights From a Population-Based Survey,https://stacks.cdc.gov/view/cdc/53200
52337,"Implementing Key Drivers for Diabetes Self-Management Education and Support Programs: Early Outcomes, Activities, Facilitators, and Barriers",https://stacks.cdc.gov/view/cdc/52337
50304,"Early Results of States’ Efforts to Support, Scale, and Sustain the National Diabetes Prevention Program",https://stacks.cdc.gov/view/cdc/50304
49464,A Diabetic Retinopathy Screening Tool for Low-Income Adults in Mexico,https://stacks.cdc.gov/view/cdc/49464
