cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
37180,cdc:37180,"A Randomized Controlled Trial Translating the Diabetes Prevention Program to a University Worksite, Ohio, 2012–2014","Weinhold\, Kellie R.,Miller\, Carla K.,Marrero\, David G.,Nagaraja\, Haikady N.,Focht\, Brian C.,Gascon\, Gregg M.",,https://stacks.cdc.gov/view/cdc/37180,https://stacks.cdc.gov/view/cdc/37180/cdc_37180_DS1.pdf,source_documents/cdc_37180.pdf,Include,32,0
47462,cdc:47462,"A Formative Evaluation of a Diabetes Prevention Program Using the RE-AIM Framework in a Learning Health Care System, Utah, 2013–2015","Brunisholz\, Kimberly D.,Kim\, Jaewhan,Savitz\, Lucy A.,Hashibe\, Mia,Gren\, Lisa H.,Hamilton\, Sharon,Huynh\, Kelly,Joy\, Elizabeth A.",,https://stacks.cdc.gov/view/cdc/47462,https://stacks.cdc.gov/view/cdc/47462/cdc_47462_DS1.pdf,source_documents/cdc_47462.pdf,Include,30,0
48070,cdc:48070,A Framework for Implementing the National Diabetes Prevention Program in Los Angeles County,"Mosst\, Jennifer T.,DeFosset\, Amelia,Gase\, Lauren,Baetscher\, Laura,Kuo\, Tony",,https://stacks.cdc.gov/view/cdc/48070,https://stacks.cdc.gov/view/cdc/48070/cdc_48070_DS1.pdf,source_documents/cdc_48070.pdf,Include,29,0
24402,cdc:24402,"Implementation and Outcomes of the New York State YMCA Diabetes Prevention Program: A Multisite Community-Based Translation, 2010–2012","Bozack\, Anne,Millstein\, Susan,Garcel\, Jacqueline Martinez,Kelly\, Kim,Ruberto\, Rachael,Weiss\, Linda",,https://stacks.cdc.gov/view/cdc/24402,https://stacks.cdc.gov/view/cdc/24402/cdc_24402_DS1.pdf,source_documents/cdc_24402.pdf,Include,26,0
151112,cdc:151112,"Factors Influencing the Referral of Patients with Prediabetes to a Diabetes Prevention Program in the Bronx, New York","Stephenson-Hunter\, Cara,Pacheco\, Giovanni,Kim\, Ryung S.,Gao\, Qi,Hosgood\, H. Dean,Chambers\, Earle C.",,https://stacks.cdc.gov/view/cdc/151112,https://stacks.cdc.gov/view/cdc/151112/cdc_151112_DS1.pdf,source_documents/cdc_151112.pdf,Include,24,0
50304,cdc:50304,"Early Results of States’ Efforts to Support, Scale, and Sustain the National Diabetes Prevention Program","Mensa-Wilmot\, Yvonne,Bowen\, Shelly-Ann,Rutledge\, Stephanie,Morgan\, Jennifer Murphy,Bonner\, Timethia,Farris\, Kimberly,Blacher\, Rachel,Rutledge\, Gia",,https://stacks.cdc.gov/view/cdc/50304,https://stacks.cdc.gov/view/cdc/50304/cdc_50304_DS1.pdf,source_documents/cdc_50304.pdf,Include,24,0
19628,cdc:19628,Designing a Natural Experiment to Evaluate a National Health Care–Community Partnership to Prevent Type 2 Diabetes,"Ackermann\, Ronald T.,Holmes\, Ann M.,Saha\, Chandan",,https://stacks.cdc.gov/view/cdc/19628,https://stacks.cdc.gov/view/cdc/19628/cdc_19628_DS1.pdf,source_documents/cdc_19628.pdf,Include,23,0
46733,cdc:46733,A Feasibility Study of Supply and Demand for Diabetes Prevention Programs in North Carolina,"Alva\, Maria L.,Samuel-Hodge\, Carmen D.,Porterfield\, Deborah,Thomas\, Tainayah,Leeman\, Jennifer",,https://stacks.cdc.gov/view/cdc/46733,https://stacks.cdc.gov/view/cdc/46733/cdc_46733_DS1.pdf,source_documents/cdc_46733.pdf,Include,21,0
20039,cdc:20039,Cherokee Choices: A Diabetes Prevention Program for American Indians,"Bachar\, Jeffrey J,Lefler\, Lisa J,Reed\, Lori,McCoy\, Tara,Bailey\, Robin,Bell\, Ronny",,https://stacks.cdc.gov/view/cdc/20039,https://stacks.cdc.gov/view/cdc/20039/cdc_20039_DS1.pdf,source_documents/cdc_20039.pdf,Include,20,0
20499,cdc:20499,"Cost-Effectiveness Analysis of Efforts to Reduce Risk of Type 2 Diabetes and Cardiovascular Disease in Southwestern Pennsylvania, 2005-2007","Smith\, Kenneth J.,Bryce\, Cindy L.,Hsu\, Heather E.,Roberts\, Mark S.,Kramer\, M. Kaye,Orchard\, Trevor J.,Piatt\, Gretchen A.,Seidel\, Miriam C.,Zgibor\, Janice C.",,https://stacks.cdc.gov/view/cdc/20499,https://stacks.cdc.gov/view/cdc/20499/cdc_20499_DS1.pdf,source_documents/cdc_20499.pdf,Include,14,0
55292,cdc:55292,Outcomes and Economic Benefits of Penn State Extension’s Dining With Diabetes Program,"Griffie\, Debra,James\, Lynn,Goetz\, Stephan,Balotti\, Brandon,Shr\, Yau-Huo,Corbin\, Marilyn,Kelsey\, Timothy W.",,https://stacks.cdc.gov/view/cdc/55292,https://stacks.cdc.gov/view/cdc/55292/cdc_55292_DS1.pdf,source_documents/cdc_55292.pdf,Include,12,0
22055,cdc:22055,Diabetes Prevention in Hispanics: Report From a Randomized Controlled Trial,"Duggan\, Catherine,Carosso\, Elizabeth,Mariscal\, Norma,Islas\, Ilda,Ibarra\, Genoveva,Holte\, Sarah,Copeland\, Wade,Linde\, Sandra,Thompson\, Beti",,https://stacks.cdc.gov/view/cdc/22055,https://stacks.cdc.gov/view/cdc/22055/cdc_22055_DS1.pdf,source_documents/cdc_22055.pdf,Include,12,0
53200,cdc:53200,When Should “Pre” Carry as Much Weight in the Diabetes Comorbidity Debate? Insights From a Population-Based Survey,"Iranfar\, Negin,Smith\, Tyler C.",,https://stacks.cdc.gov/view/cdc/53200,https://stacks.cdc.gov/view/cdc/53200/cdc_53200_DS1.pdf,source_documents/cdc_53200.pdf,Include,11,0
