PID,DS1.mimetype_txt_en,DS7.mimetype_txt_en,DS7.sourceurl,DS15.filesize_tl,DS11.filesize_tl,DS5.filesize_tl,DS1.filesize_tl,DS9.filesize_tl,DS8.sourceurl,DS6.mimetype_txt_en,DS6.sourceurl,DS13.filesize_tl,DS3.filesize_tl,DS13.mimetype_txt_en,DS9.mimetype_txt_en,DS4.filesize_tl,DS14.mimetype_txt_en,DS2.sourceurl,DS7.filesize_tl,DS15.mimetype_txt_en,DS8.mimetype_txt_en,DS4.mimetype_txt_en,DS14.filesize_tl,DS10.filesize_tl,DS3.sourceurl,DS4.sourceurl,mods.type_of_resource,DS6.filesize_tl,DS8.filesize_tl,DS11.mimetype_txt_en,DS5.mimetype_txt_en,DS12.mimetype_txt_en,DS10.mimetype_txt_en,DS5.sourceurl,DS3.mimetype_txt_en,DS2.filesize_tl,DS1.sourceurl,DS12.filesize_tl,DS2.mimetype_txt_en
cdc:150999,application/pdf,,,,,7648,767988,,,image/jpeg,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30s02.jpg,,4754,,,105339,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30s01.jpg,Journal Article,210981,,,image/gif,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30s02.gif,image/gif,136261,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E30/PCD-20-E30.pdf,,text/xml
cdc:24402,application/pdf,,,,,,512831,,,,,,70507,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,530,,,text/plain
cdc:26402,application/pdf,,,,,31943,314505,,,,,,68434,,,1592,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,529,,,text/plain
cdc:21008,application/pdf,image/jpeg,,,,36861,815765,32547,,image/gif,,,86280,,image/jpeg,3271,,,30686,,image/gif,image/gif,,,,,Journal Article,3491,3559,,image/jpeg,,,,text/plain,530,,,text/plain
cdc:20102,application/pdf,,,,,,277040,,,,,,49309,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:26741,application/pdf,,,,,,149729,,,,,,14422,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,528,,,text/plain
cdc:20408,application/pdf,,,,,,436371,,,,,,52883,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,532,,,text/plain
cdc:20446,application/pdf,,,,,,387686,,,,,,40419,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:19890,application/pdf,,,,,,122522,,,,,,22188,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:19997,application/pdf,image/jpeg,,,,113624,338499,,,image/gif,,,56676,,,5023,,,111935,,,image/gif,,,,,Journal Article,5455,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:120395,application/pdf,,,,,6201,632123,,,image/jpeg,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44s02.jpg,,6158,,,107277,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44s01.jpg,Journal Article,107791,,,image/gif,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44s02.gif,image/gif,95024,file:///E:/cpapFiles/Pubmed/Ingest/PCD-19-E44/PCD-19-E44.pdf,,text/xml
cdc:20101,application/pdf,,,,,41670,291094,,,,,,64351,,,2804,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:19713,application/pdf,,,,,,238258,,,,,,66642,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,529,,,text/plain
cdc:20206,application/pdf,,,,,62268,395051,,,,,,48192,,,3511,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:151104,application/pdf,,,,,,383875,,,,,,,,,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E75/PCD-20-E75.nxml,,,,,,,,,Journal Article,,,,,,,,,73388,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E75/PCD-20-E75.pdf,,text/xml
cdc:20499,application/pdf,image/jpeg,,,,46932,504300,17909,,image/gif,,,84218,,image/jpeg,2187,,,49484,,image/gif,image/gif,,,,,Journal Article,2107,1288,,image/jpeg,,,,text/plain,532,,,text/plain
cdc:24740,application/pdf,image/jpeg,,27631,35447,103408,1091616,25324,,image/gif,,33990,69270,image/jpeg,image/jpeg,8519,image/gif,,91488,image/jpeg,image/gif,image/gif,2036,2354,,,Journal Article,6643,1941,image/jpeg,image/jpeg,image/gif,image/gif,,text/plain,530,,2258,text/plain
cdc:35567,application/pdf,image/jpeg,,,,14593,455341,,,image/gif,,,103542,,,2514,,,124571,,,image/gif,,,,,Journal Article,4101,,,image/jpeg,,,,application/octet-stream,531,,,text/plain
cdc:26740,application/pdf,,,,,,421275,,,,,,102295,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,528,,,text/plain
cdc:19711,application/pdf,,,,,,240001,,,,,,71023,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,529,,,text/plain
cdc:20205,application/pdf,,,,,,425350,,,,,,43958,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:20203,application/pdf,,,,,,460130,,,,,,65464,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:150982,application/pdf,,,,,,496444,,,,,,4261,,,69263,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E13/PCD-20-E13.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E13/PCD-20-E13s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E13/PCD-20-E13s01.jpg,Journal Article,,,,,,,,image/gif,86485,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E13/PCD-20-E13.pdf,,text/xml
cdc:19628,application/pdf,,,,,33467,185487,,,,,,32080,,,2811,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,529,,,text/plain
cdc:20255,application/pdf,,,,,,478823,,,,,,63246,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:20106,application/pdf,image/jpeg,,,,31454,289257,,,image/gif,,,41103,,,4509,,,46164,,,image/gif,,,,,Journal Article,2664,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:20165,application/pdf,,,,,24209,517402,,,,,,63704,,,7477,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,532,,,text/plain
cdc:37180,application/pdf,,,,,105711,513758,,,,,,139550,,,3837,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,application/octet-stream,531,,,text/plain
cdc:19766,application/pdf,,,,,12773,256884,,,,,,74602,,,1699,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,528,,,text/plain
cdc:23491,application/pdf,,,,,59382,697451,,,,,,84605,,,3815,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,529,,,text/plain
cdc:20369,application/pdf,image/jpeg,,,19915,71577,355496,20576,,image/gif,,,31172,,image/jpeg,2811,,,21756,,image/gif,image/gif,,8158,,,Journal Article,9210,8044,image/jpeg,image/jpeg,,image/gif,,text/plain,532,,,text/plain
cdc:20541,application/pdf,image/jpeg,,,,30503,539930,,,image/gif,,,70295,,,2642,,,56074,,,image/gif,,,,,Journal Article,2918,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:36133,application/pdf,,,,,531,393745,,,application/octet-stream,,,48061,,,18131,,,,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,,,,Journal Article,95397,,,text/plain,,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,17201,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document
cdc:19714,application/pdf,,,,,,101056,,,,,,76409,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,528,,,text/plain
cdc:54001,application/pdf,,,,,,247667,,,,,,,,,,,PCD-15-E46.nxml,,,,,,,,,Journal Article,,,,,,,,,37456,PCD-15-E46.pdf,,text/xml
cdc:150969,application/pdf,,,,,,584829,,,,,,3182,,,38440,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-21-E06/PCD-21-E06.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-21-E06/PCD-21-E06s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-21-E06/PCD-21-E06s01.jpg,Journal Article,,,,,,,,image/gif,131495,file:///E:/cpapFiles/Pubmed/Ingest/PCD-21-E06/PCD-21-E06.pdf,,text/xml
cdc:84978,application/pdf,,,,,,301299,,,,,,4675,,,34622,,PCD-17-E08.nxml,,,,image/jpeg,,,PCD-17-E08s01.gif,PCD-17-E08s01.jpg,Journal Article,,,,,,,,image/gif,60520,PCD-17-E08.pdf,,text/xml
cdc:151020,application/pdf,,,,,,366613,,,,,,,,,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E51/PCD-20-E51.nxml,,,,,,,,,Journal Article,,,,,,,,,61401,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E51/PCD-20-E51.pdf,,text/xml
cdc:29611,application/pdf,,,,,,348100,,,,,,77790,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,529,,,text/plain
cdc:151112,application/pdf,,,,,,526532,,,,,,,,,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E83/PCD-20-E83.nxml,,,,,,,,,Journal Article,,,,,,,,,104607,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E83/PCD-20-E83.pdf,,text/xml
cdc:26463,application/pdf,,,,,68839,422654,,,,,,104593,,,2439,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:26132,application/pdf,,,,,25796,309391,,,,,,64352,,,2525,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,530,,,text/plain
cdc:150995,application/pdf,image/gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s03.gif,,,8000,1911870,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s03.jpg,image/jpeg,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s02.jpg,,6273,,,74602,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26.nxml,10897,,image/jpeg,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s01.jpg,Journal Article,141758,83159,,image/gif,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26s02.gif,image/gif,165739,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E26/PCD-20-E26.pdf,,text/xml
cdc:151083,application/pdf,,,,,,672225,,,,,,5338,,,116760,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E116/PCD-20-E116.nxml,,,,image/jpeg,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E116/PCD-20-E116s01.gif,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E116/PCD-20-E116s01.jpg,Journal Article,,,,,,,,image/gif,120513,file:///E:/cpapFiles/Pubmed/Ingest/PCD-20-E116/PCD-20-E116.pdf,,text/xml
cdc:113215,application/pdf,,,,,,474208,,,,,,,,,,,file:///E:/cpapFiles/Pubmed/Ingest/PCD-18-E98/PCD-18-E98.nxml,,,,,,,,,Journal Article,,,,,,,,,101065,file:///E:/cpapFiles/Pubmed/Ingest/PCD-18-E98/PCD-18-E98.pdf,,text/xml
cdc:20422,application/pdf,,,,,24988,554660,,,,,,90924,,,2601,,,,,,image/gif,,,,,Journal Article,,,,image/jpeg,,,,text/plain,531,,,text/plain
cdc:47763,application/pdf,,,,,,316005,,,,,,77564,,,,,Joint_Accred_logo.jpg,,,,,,,PCD-14-E65.nxml,,Journal Article,,,,,,,,text/xml,10108,PCD-14-E65.pdf,,image/jpeg
