cdc_id,title,landing_page,PID,metadata_title,authors,publication_date,raw_date,abstract,subjects,keywords,journal,document_type,publisher,publisher_place,rights,rights_statement,download_url,language,screening_status,prevention_score,treatment_score,screening_reason
37180,"A Randomized Controlled Trial Translating the Diabetes Prevention Program to a University Worksite, Ohio, 2012–2014",https://stacks.cdc.gov/view/cdc/37180,cdc:37180,"A Randomized Controlled Trial Translating the Diabetes Prevention Program to a University Worksite, Ohio, 2012–2014","Weinhold\, Kellie R.,Miller\, Carla K.,Marrero\, David G.,Nagaraja\, Haikady N.,Focht\, Brian C.,Gascon\, Gregg M.",,Nov 25 2015,"Introduction,Working adults spend much time at the workplace\, an ideal setting for wellness programs targeting weight loss and disease prevention. Few randomized trials have evaluated the efficacy of worksite diabetes prevention programs.This study evaluated the efficacy of a worksite lifestyle intervention on metabolic and behavioral risk factors compared with usual care.,Methods,A pretest–posttest control group design with 3-month follow-up was used. Participants with prediabetes were recruited from a university worksite and randomized to receive a 16-week lifestyle intervention (n = 35) or usual care (n = 34). Participants were evaluated at baseline\, postintervention\, and 3-month follow-up. Dietary intake was measured by a food frequency questionnaire and level of physical activity by accelerometers. Repeated measures analysis of variance compared the change in outcomes between and within groups.,Results,Mean (standard error [SE]) weight loss was greater in the intervention (−5.5% [0.6%]) than in the control (−0.4% [0.5%]) group (P < .001) postintervention and was sustained at 3-month follow-up (P < .001). Mean (SE) reductions in fasting glucose were greater in the intervention (−8.6 [1.6] mg/dL) than in the control (−3.7 [1.6] mg/dL) group (P = .02) postintervention; both groups had significant glucose reductions at 3-month follow-up (P < .001). In the intervention group\, the intake of total energy and the percentage of energy from all fats\, saturated fats\, and trans fats decreased\, and the intake of dietary fiber increased (all P < .01) postintervention.,Conclusion,The worksite intervention improved metabolic and behavioral risk factors among employees with prediabetes. The long-term impact on diabetes prevention and program sustainability warrant further investigation.","Diabetes Mellitus\, Type 2,Feeding Behavior,Female,Glucose Tolerance Test,Health Promotion,Humans,Life Style,Male,Middle Aged,Motor Activity,Prediabetic State,Program Evaluation,Risk Factors,Universities,Weight Loss,Workplace","Diabetes Mellitus\, Type 2,Feeding Behavior,Female,Glucose Tolerance Test,Health Promotion,Humans,Life Style,Male,Middle Aged,Motor Activity,Prediabetic State,Program Evaluation,Risk Factors,Universities,Weight Loss,Workplace",Preventing Chronic Disease (PCD),,,,,,,eng,Include,32,0,"Strong prevention terms: diabetes prevention program, prediabetes, prediabetic state, diabetes prevention, lifestyle intervention | Other prevention terms: risk factor, weight loss, physical activity, diet, health promotion, worksite intervention, lifestyle"
47462,"A Formative Evaluation of a Diabetes Prevention Program Using the RE-AIM Framework in a Learning Health Care System, Utah, 2013–2015",https://stacks.cdc.gov/view/cdc/47462,cdc:47462,"A Formative Evaluation of a Diabetes Prevention Program Using the RE-AIM Framework in a Learning Health Care System, Utah, 2013–2015","Brunisholz\, Kimberly D.,Kim\, Jaewhan,Savitz\, Lucy A.,Hashibe\, Mia,Gren\, Lisa H.,Hamilton\, Sharon,Huynh\, Kelly,Joy\, Elizabeth A.",,Jul 20 2017,"Introduction,Evaluation of interventions can help to close the gap between research and practice but seldom takes place during implementation. Using the RE-AIM framework\, we conducted a formative evaluation of the first year of the Intermountain Healthcare Diabetes Prevention Program (DPP).,Methods,Adult patients who met the criteria for prediabetes (HbA1c of 5.70%–6.49% or fasting plasma glucose of 100–125 mg/dL) were attributed to a primary care provider from August 1\, 2013\, through July 31\, 2014. Physicians invited eligible patients to participate in the program during an office visit. We evaluated 1) reach\, with data on patient eligibility\, participation\, and representativeness; 2) effectiveness\, with data on attaining a 5% weight loss; 3) adoption\, with data on providers and clinics that referred patients to the program; and 4) implementation\, with data on patient encounters. We did not measure maintenance.,Results,Of the 6\,862 prediabetes patients who had an in-person office visit with their provider\, 8.4% of eligible patients enrolled. Likelihood of participation was higher among patients who were female\, aged 70 years or older\, or overweight; had depression and higher weight at study enrollment; or were prescribed metformin. DPP participants were more likely than nonparticipants to achieve a 5% weight loss (odds ratio\, 1.70; 95% confidence interval\, 1.29–2.25; P < .001). Providers from 7 of 8 regions referred patients to the DPP; 174 providers at 53 clinics enrolled patients. The mean number of DPP counseling encounters per patient was 2.3 (range\, 1–16).,Conclusion,The RE-AIM framework was useful for estimating the formative impact (ie\, reach\, effectiveness\, adoption\, and implementation fidelity) of a DPP-based lifestyle intervention deployed in a learning health care system.","Delivery of Health Care,Diabetes Mellitus\, Type 2,Health Behavior,Health Promotion,Humans,Life Style,Prediabetic State","Delivery of Health Care,Diabetes Mellitus\, Type 2,Health Behavior,Health Promotion,Humans,Life Style,Prediabetic State",Preventing Chronic Disease (PCD),,,,,,,eng,Include,30,0,"Strong prevention terms: diabetes prevention program, prediabetes, prediabetic state, diabetes prevention, lifestyle intervention, dpp | Other prevention terms: weight loss, overweight, health promotion, lifestyle"
48070,A Framework for Implementing the National Diabetes Prevention Program in Los Angeles County,https://stacks.cdc.gov/view/cdc/48070,cdc:48070,A Framework for Implementing the National Diabetes Prevention Program in Los Angeles County,"Mosst\, Jennifer T.,DeFosset\, Amelia,Gase\, Lauren,Baetscher\, Laura,Kuo\, Tony",,Aug 24 2017,"Introduction,Preventing type 2 diabetes is a public health priority in the United States. An estimated 86 million Americans aged 20 years or older have prediabetes\, 90% of whom are unaware they have it. The National Diabetes Prevention Program (NDPP) has the potential to reduce the incidence of type 2 diabetes; however\, little is known about the best way to institutionalize such a program in a jurisdiction with a racially/ethnically diverse population. The objective of this study was to develop a practice-grounded framework for implementing the NDPP in Los Angeles County.,Methods,In 2015\, the Los Angeles County Department of Public Health (LACDPH) partnered with Ad Lucem Consulting to conduct a 3-stage formative assessment that consisted of 1) in-depth interviews with key informants representing community-based organizations to learn about their experiences implementing the NDPP and similar lifestyle-change programs and 2) 2 strategic planning sessions to obtain input and feedback from the Los Angeles County Diabetes Prevention Coalition. LACDPH identified core activities to increase identification of people with type 2 diabetes and referral and enrollment of eligible populations in the NDPP.,Results,We worked with LACDPH and key informants to develop a 3-pronged framework of core activities to implement NDPP: expanding outreach and education\, improving health care referral systems and protocols\, and increasing access to and insurance coverage for NDPP. The framework will use a diverse partner network to advance these strategies.,Conclusion,The framework has the potential to identify people with prediabetes and to expand NDPP among priority populations in Los Angeles County and other large jurisdictions by using a diverse partner network","Diabetes Mellitus\, Type 2,Humans,National Health Programs,Program Development","Diabetes Mellitus\, Type 2,Humans,National Health Programs,Program Development",Preventing Chronic Disease (PCD),,,,,,,eng,Include,29,0,"Strong prevention terms: diabetes prevention program, national diabetes prevention program, preventing type 2 diabetes, prediabetes, diabetes prevention, dpp | Other prevention terms: referral, lifestyle"
24402,"Implementation and Outcomes of the New York State YMCA Diabetes Prevention Program: A Multisite Community-Based Translation, 2010–2012",https://stacks.cdc.gov/view/cdc/24402,cdc:24402,"Implementation and Outcomes of the New York State YMCA Diabetes Prevention Program: A Multisite Community-Based Translation, 2010–2012","Bozack\, Anne,Millstein\, Susan,Garcel\, Jacqueline Martinez,Kelly\, Kim,Ruberto\, Rachael,Weiss\, Linda",,Jul 10 2014,"Introduction,Weight loss and physical activity achieved through the Diabetes Prevention Program (DPP) have been shown to reduce type 2 diabetes risk among individuals with prediabetes. The New York State Young Men’s Christian Association (YMCA) delivered the 16-week evidence-based model at 14 YMCAs. A mixed methods process and outcomes evaluation was conducted.,Methods,Most participants were referred by clinicians and were encouraged to achieve 5% to 7% weight loss. Participants were weighed weekly; additional data were gathered from participant surveys and focus groups and staff surveys and interviews.,Results,Participants (N = 254) lost a mean of 9 pounds (P < .001)\, or 4.2% of body weight\, by program completion; 40% achieved 5% or more weight loss and 25% achieved 7% or more weight loss. Ten months after baseline\, 61% of participants reported 5% or more weight loss and 48% reported 7% or more weight loss. In multivariate models\, weight loss was negatively associated with black race (16 weeks: adjusted odds ratio [AOR]\, 0.190\, P = .002; 10 months: AOR\, 0.244\, P = .005) and positively associated with attendance (16 weeks: AOR\, 18.699\, P < .001; 10 months: AOR\, 2.808\, P = .024). Participants reported improvements in health and lifestyle changes after program completion. Factors contributing to program success included coaches who motivated participants\, the group setting\, curriculum\, and program duration. However\, sociodemographic diversity was limited.,Conclusion,Outcomes demonstrate the potential for effectively implementing the DPP in community-based settings. Findings also suggest the need for replications among a broader population.","Adult,Aged,Aged\, 80 and over,Behavioral Risk Factor Surveillance System,Body Mass Index,Community Health Services,Diabetes Mellitus\, Type 2,Evidence-Based Practice,Female,Focus Groups,Follow-Up Studies,Health Plan Implementation,Health Promotion,Humans,Life Style,Male,Middle Aged,Patient Education as Topic,Program Evaluation,Qualitative Research,Referral and Consultation,Residence Characteristics,Social Class,Surveys and Questionnaires,Weight Loss,Weight Reduction Programs","Adult,Aged,Aged\, 80 and over,Behavioral Risk Factor Surveillance System,Body Mass Index,Community Health Services,Diabetes Mellitus\, Type 2,Evidence-Based Practice,Female,Focus Groups,Follow-Up Studies,Health Plan Implementation,Health Promotion,Humans,Life Style,Male,Middle Aged,Patient Education as Topic,Program Evaluation,Qualitative Research,Referral and Consultation,Residence Characteristics,Social Class,Surveys and Questionnaires,Weight Loss,Weight Reduction Programs",Preventing Chronic Disease (PCD),,,,,,,eng,Include,26,0,"Strong prevention terms: diabetes prevention program, prediabetes, diabetes prevention, dpp | Other prevention terms: risk factor, weight loss, physical activity, referral, health promotion, lifestyle"
151112,"Factors Influencing the Referral of Patients with Prediabetes to a Diabetes Prevention Program in the Bronx, New York",https://stacks.cdc.gov/view/cdc/151112,cdc:151112,"Factors Influencing the Referral of Patients with Prediabetes to a Diabetes Prevention Program in the Bronx, New York","Stephenson-Hunter\, Cara,Pacheco\, Giovanni,Kim\, Ryung S.,Gao\, Qi,Hosgood\, H. Dean,Chambers\, Earle C.",,9 21 2023,"Introduction,Disparate engagement in the Diabetes Prevention Program (DPP) may occur as early as the point of referral for certain subgroups\, including Black and Hispanic men. We aimed to determine patient demographic and provider characteristics associated with referrals to a health system DPP in the Bronx\, New York.,Methods,Patient and health system characteristics for DPP-eligible patients seen in primary care between July 1\, 2015\, and December 31\, 2017\, were obtained through the electronic health record. Generalized mixed-effects modeling was used to test the association between referral rate and clinical and sociodemographic variables.,Results,Of 26\,727 eligible patients\, 66% were female\, 46% were Hispanic\, and 39% were non-Hispanic Black. Only 10% (n = 2\,785) of eligible patients were referred to DPP. In the adjusted analyses\, lower odds of referral were observed for men versus women (OR = 0.60; 95% CI\, 0.52–0.66)\, for non-Hispanic White versus Hispanic patients (OR = 0.53; 95% CI\, 0.40–0.71)\, and for uninsured patients versus Medicaid patients (OR = 0.66; 95% CI\, 0.54–0.80). The odds were higher for patients in the highest versus lowest hemoglobin A1c (OR = 2.49; 95% CI\, 2.27–2.72) category; for those in the highest versus lowest body mass index categories (OR = 1.61; 95% CI\, 1.45–1.79); for middle-aged patients (aged 45–64 y) versus those aged 18–26 y (OR =1.63; 95% CI\, 1.33–2.00); and for patients being seen by a family versus an internal medicine physician (OR = 1.65; 95% CI\, 1.22–2.22).,Conclusion,We identified under-referral for men and highlighted other patient and health system factors associated with referral rates. Interventions to address bias in referrals and increase referrals for men at high risk for diabetes\, not typically represented in DPP\, are recommended.","Female,Humans,Male,Middle Aged,Black People,Diabetes Mellitus\, Type 2,Prediabetic State,Referral and Consultation,Hispanic or Latino,Adolescent,Young Adult,Adult,Health Promotion,White,Socioeconomic Factors","Adolescent,Adult,Black People,Diabetes Mellitus\, Type 2,Female,Health Promotion,Hispanic or Latino,Humans,Male,Middle Aged,Prediabetic State,Referral and Consultation,Socioeconomic Factors,White,Young Adult",Preventing Chronic Disease (PCD),,,,,,,eng,Include,24,0,"Strong prevention terms: diabetes prevention program, prediabetes, prediabetic state, diabetes prevention, dpp | Other prevention terms: referral, health promotion"
50304,"Early Results of States’ Efforts to Support, Scale, and Sustain the National Diabetes Prevention Program",https://stacks.cdc.gov/view/cdc/50304,cdc:50304,"Early Results of States’ Efforts to Support, Scale, and Sustain the National Diabetes Prevention Program","Mensa-Wilmot\, Yvonne,Bowen\, Shelly-Ann,Rutledge\, Stephanie,Morgan\, Jennifer Murphy,Bonner\, Timethia,Farris\, Kimberly,Blacher\, Rachel,Rutledge\, Gia",,Dec 07 2017,"The Centers for Disease Control and Prevention (CDC) developed a cooperative agreement with health departments in all 50 states and the District of Columbia to strengthen chronic disease prevention and management efforts through the implementation of evidence-based strategies\, such as CDC's National Diabetes Prevention Program. The National Diabetes Prevention Program supports organizations to deliver the year-long lifestyle change program that has been proven to prevent or delay the onset of type 2 diabetes among those at high risk. This article describes activities\, barriers\, and facilitators reported by funded states during the first 3 years (2013-2015) of a 5-year funding cycle.","Diabetes Mellitus\, Type 2,Health Planning,Humans,National Health Programs","Diabetes Mellitus\, Type 2,Health Planning,Humans,National Health Programs",Preventing Chronic Disease (PCD),,,,,,,eng,Include,24,0,"Strong prevention terms: diabetes prevention program, national diabetes prevention program, prevent or delay, diabetes prevention, lifestyle change program | Other prevention terms: lifestyle"
19628,Designing a Natural Experiment to Evaluate a National Health Care–Community Partnership to Prevent Type 2 Diabetes,https://stacks.cdc.gov/view/cdc/19628,cdc:19628,Designing a Natural Experiment to Evaluate a National Health Care–Community Partnership to Prevent Type 2 Diabetes,"Ackermann\, Ronald T.,Holmes\, Ann M.,Saha\, Chandan",,2013,"To address the growing incidence of type 2 diabetes in the United States\, UnitedHealth Group\, the YMCA of the USA\, and the Centers for Disease Control and Prevention have partnered to bring a group-based adaptation of the Diabetes Prevention Program lifestyle intervention to a national scale. Researchers at Northwestern and Indiana universities are collaborating with these partners to design a robust evaluation of the reach\, effectiveness\, and costs of this natural experiment. We will employ a quasi-experimental\, cluster-randomized study design and combine administrative\, clinical\, and programmatic data from existing sources to derive reliable\, timely\, and policy-relevant estimates of the program's impact and potential for sustainability. In this context\, evaluation results will provide information about the unique role of a health care-community partnership to prevent type 2 diabetes.","Special Topic,Child,Cluster Analysis,Community-Based Participatory Research,Diabetes Mellitus\, Type 2,Evidence-Based Medicine,Health Benefit Plans\, Employee,Health Expenditures,Health Promotion,Humans,Insurance\, Health,Life Style,Patient Education as Topic,Program Evaluation,Risk Assessment,Weight Loss","Child,Cluster Analysis,Community-Based Participatory Research,Diabetes Mellitus\, Type 2,Evidence-Based Medicine,Health Benefit Plans\, Employee,Health Expenditures,Health Promotion,Humans,Insurance\, Health,Life Style,Patient Education as Topic,Program Evaluation,Risk Assessment,Special Topic,Weight Loss",Preventing Chronic Disease (PCD),,,,,,,eng,Include,23,0,"Strong prevention terms: diabetes prevention program, prevent type 2 diabetes, diabetes prevention, lifestyle intervention | Other prevention terms: weight loss, health promotion, lifestyle"
46733,A Feasibility Study of Supply and Demand for Diabetes Prevention Programs in North Carolina,https://stacks.cdc.gov/view/cdc/46733,cdc:46733,A Feasibility Study of Supply and Demand for Diabetes Prevention Programs in North Carolina,"Alva\, Maria L.,Samuel-Hodge\, Carmen D.,Porterfield\, Deborah,Thomas\, Tainayah,Leeman\, Jennifer",,Jun 29 2017,"Introduction,Diabetes Prevention Programs (DPPs) have shown that healthy eating and moderate physical activity are effective ways of delaying and preventing type 2 diabetes in people with impaired glucose tolerance. We assessed willingness to pay for DPPs from the perspective of potential recipients and the cost of providing these programs from the perspective of community health centers and local health departments in North Carolina.,Methods,We used contingent valuation to determine how much potential recipients would be willing to pay to participate in DPPs under 3 different models: delivered by registered professionals (traditional model)\, by community health workers\, or online. By using information on the minimum reimbursement rate at which public health agencies would be prepared to provide the 3 models\, we estimated the marginal costs per person of supplying the programs. Matching supply and demand\, we estimated the degree of cost sharing between recipients and providers.,Results,Potential program recipients (n = 99) were willing to pay more for programs led by registered professionals than by community health workers\, and they preferred face-to-face contact to an online format. Socioeconomic status (measured by education and employment) and age played the biggest roles in determining willingness to pay. Leaders of public health agencies (n = 27) reported up to a 40% difference in the cost of providing the DPP\, depending on the delivery model.,Conclusion,By using willingness to pay to understand demand for DPPs and computing the provider’s marginal cost of providing these services\, we can estimate cost sharing and market coverage of these services and thus compare the viability of alternate approaches to scaling up and sustaining DPPs with available resources.","Adult,Community Health Centers,Community Health Services,Cross-Sectional Studies,Data Collection,Diabetes Mellitus\, Type 2,Feasibility Studies,Health Care Surveys,Health Occupations,Health Policy,Health Services Needs and Demand,Humans,Patient Acceptance of Health Care,Surveys and Questionnaires","Adult,Community Health Centers,Community Health Services,Cross-Sectional Studies,Data Collection,Diabetes Mellitus\, Type 2,Feasibility Studies,Health Care Surveys,Health Occupations,Health Policy,Health Services Needs and Demand,Humans,Patient Acceptance of Health Care,Surveys and Questionnaires",Preventing Chronic Disease (PCD),,,,,,,eng,Include,21,0,"Strong prevention terms: diabetes prevention program, preventing type 2 diabetes, diabetes prevention, dpp | Other prevention terms: physical activity, healthy eating"
20039,Cherokee Choices: A Diabetes Prevention Program for American Indians,https://stacks.cdc.gov/view/cdc/20039,cdc:20039,Cherokee Choices: A Diabetes Prevention Program for American Indians,"Bachar\, Jeffrey J,Lefler\, Lisa J,Reed\, Lori,McCoy\, Tara,Bailey\, Robin,Bell\, Ronny",,Jun 15 2006,"In 1999\, the Centers for Disease Control and Prevention (CDC) provided Racial and Ethnic Approaches to Community Health 2010 (REACH 2010) funds to the Eastern Band of Cherokee Indians to develop a community-based intervention to improve the health of this rural\, mountainous community in North Carolina. During the first year of the Cherokee Choices program\, team members conducted formative research\, formed coalitions\, and developed a culturally appropriate community action plan for the prevention of type 2 diabetes\, particularly among children. The Eastern Band of Cherokee Indians has higher rates of obesity and type 2 diabetes than the U.S. and North Carolina general populations. The Cherokee Choices program includes three main components: elementary school mentoring\, worksite wellness for adults\, and church-based health promotion. A social marketing strategy\, including television advertisements and a television documentary series\, supports the three components. School policy was altered to allow Cherokee Choices to have class time and after-school time devoted to health promotion activities. School staff have shown an interest in improving their health through attendance at fitness sessions. The credibility of the program has been validated through multiple invitations to participate in school events. Participants in the worksite wellness program have met dietary and physical activity goals\, had reductions in body fat\, and expressed enthusiasm for the program. A subcoalition has been formed to expand the worksite wellness component and link prevention efforts to health care cost reduction. Participants in the church program have walked more than 31\,600 miles collectively.","Adult,Child,Community Health Services,Culture,Diabetes Mellitus\, Type 2,Diet,Female,Health Promotion,Humans,Indians\, North American,Male,Obesity","Adult,Child,Community Health Services,Culture,Diabetes Mellitus\, Type 2,Diet,Female,Health Promotion,Humans,Indians\, North American,Male,Obesity",Preventing Chronic Disease (PCD),,,,,,,eng,Include,20,0,"Strong prevention terms: diabetes prevention program, prevention of type 2 diabetes, diabetes prevention | Other prevention terms: physical activity, diet, obesity, health promotion"
20499,"Cost-Effectiveness Analysis of Efforts to Reduce Risk of Type 2 Diabetes and Cardiovascular Disease in Southwestern Pennsylvania, 2005-2007",https://stacks.cdc.gov/view/cdc/20499,cdc:20499,"Cost-Effectiveness Analysis of Efforts to Reduce Risk of Type 2 Diabetes and Cardiovascular Disease in Southwestern Pennsylvania, 2005-2007","Smith\, Kenneth J.,Bryce\, Cindy L.,Hsu\, Heather E.,Roberts\, Mark S.,Kramer\, M. Kaye,Orchard\, Trevor J.,Piatt\, Gretchen A.,Seidel\, Miriam C.,Zgibor\, Janice C.",,Aug 15 2010,"Introduction,We assessed the cost-effectiveness of a community-based\, modified Diabetes Prevention Program (DPP) designed to reduce risk factors for type 2 diabetes and cardiovascular disease.,Methods,We developed a Markov decision model to compare costs and effectiveness of a modified DPP intervention with usual care during a 3-year period. Input parameters included costs and outcomes from 2 projects that implemented a community-based modified DPP for participants with metabolic syndrome\, and from other sources. The model discounted future costs and benefits by 3% annually.,Results,At 12 months\, usual care reduced relative risk of metabolic syndrome by 12.1%. A modified DPP intervention reduced relative risk by 16.2% and yielded life expectancy gains of 0.01 quality-adjusted life-years (3.67 days) at an incremental cost of $34.50 ($3\,420 per quality-adjusted life-year gained). In 1-way sensitivity analyses\, results were sensitive to probabilities that risk factors would be reduced with or without a modified DPP and that patients would enroll in an intervention\, undergo testing\, and acquire diabetes with or without an intervention if they were risk-factor–positive. Results were also sensitive to utilities for risk-factor–positive patients. In probabilistic sensitivity analysis\, the intervention cost less than $20\,000 per quality-adjusted life-year gained in approximately 78% of model iterations.,Conclusion,We consider the modified DPP delivered in community and primary care settings a sound investment.","Cardiovascular Diseases,Community Health Services,Cost-Benefit Analysis,Decision Support Techniques,Diabetes Mellitus\, Type 2,Diet,Humans,Life Style,Markov Chains,Sensitivity and Specificity,Time Factors","Cardiovascular Diseases,Community Health Services,Cost-Benefit Analysis,Decision Support Techniques,Diabetes Mellitus\, Type 2,Diet,Humans,Life Style,Markov Chains,Sensitivity and Specificity,Time Factors",Preventing Chronic Disease (PCD),,,,,,,eng,Include,14,0,"Strong prevention terms: diabetes prevention program, diabetes prevention, dpp | Other prevention terms: risk factor, diet"
