cdc_id,title,public_domain,source_md,knowledge_base_file,landing_page,status
150969,"Coping With Discrimination Among African Americans With Type 2 Diabetes: Factor Structure and Associations With Diabetes Control, Mental Distress, and Psychosocial Resources",False,cdc_150969_DS1.md,,https://stacks.cdc.gov/view/cdc/150969,excluded_not_public_domain
151083,"Prevalence of Testing for Diabetes Among US Adults With Overweight or Obesity, 2016–2019",True,cdc_151083_DS1.md,cdc_151083.md,https://stacks.cdc.gov/view/cdc/151083,copied
151112,"Factors Influencing the Referral of Patients with Prediabetes to a Diabetes Prevention Program in the Bronx, New York",False,cdc_151112_DS1.md,,https://stacks.cdc.gov/view/cdc/151112,excluded_not_public_domain
151110,"Trends and Predictors of Glycemic Control Among Adults With Type 2 Diabetes Covered by Alabama Medicaid, 2011–2019",False,cdc_151110_DS1.md,,https://stacks.cdc.gov/view/cdc/151110,excluded_not_public_domain
151104,"Public Belief in the Maternal Health Benefits of Breastfeeding — United States, 2018 and 2021",True,cdc_151104_DS1.md,cdc_151104.md,https://stacks.cdc.gov/view/cdc/151104,copied
151020,Development and Evaluation of the Delivery-Based HEALED Produce Rx Program for Uninsured Patients With Diabetes in Rural Eastern North Carolina,True,cdc_151020_DS1.md,cdc_151020.md,https://stacks.cdc.gov/view/cdc/151020,copied
150999,Risk Prediction Score for Chronic Kidney Disease in Healthy Adults and Adults With Type 2 Diabetes: Systematic Review,True,cdc_150999_DS1.md,cdc_150999.md,https://stacks.cdc.gov/view/cdc/150999,copied
150995,"“Make Stories That Will Always Be There”: Eagle Books’ Appeal, Sustainability, and Contributions to Public Health, 2006–2022",True,cdc_150995_DS1.md,cdc_150995.md,https://stacks.cdc.gov/view/cdc/150995,copied
150982,Using Patient Profiles for Sustained Diabetes Management Among People With Type 2 Diabetes,True,cdc_150982_DS1.md,cdc_150982.md,https://stacks.cdc.gov/view/cdc/150982,copied
120395,Urban–Rural Differences in Health Care Utilization and COVID-19 Outcomes in Patients With Type 2 Diabetes,False,cdc_120395_DS1.md,,https://stacks.cdc.gov/view/cdc/120395,excluded_not_public_domain
113215,Type 2 Diabetes Among Filipino American Adults in the Multiethnic Cohort,False,cdc_113215_DS1.md,,https://stacks.cdc.gov/view/cdc/113215,excluded_not_public_domain
84978,Evidence-Based Interventions for High Blood Pressure and Glycemic Control Among Illinois Health Systems,True,cdc_84978_DS1.md,cdc_84978.md,https://stacks.cdc.gov/view/cdc/84978,copied
55292,Outcomes and Economic Benefits of Penn State Extension’s Dining With Diabetes Program,True,cdc_55292_DS1.md,cdc_55292.md,https://stacks.cdc.gov/view/cdc/55292,copied
54001,Health Care Disparities Between Men and Women With Type 2 Diabetes,True,cdc_54001_DS1.md,cdc_54001.md,https://stacks.cdc.gov/view/cdc/54001,copied
53200,When Should “Pre” Carry as Much Weight in the Diabetes Comorbidity Debate? Insights From a Population-Based Survey,True,cdc_53200_DS1.md,cdc_53200.md,https://stacks.cdc.gov/view/cdc/53200,copied
52337,"Implementing Key Drivers for Diabetes Self-Management Education and Support Programs: Early Outcomes, Activities, Facilitators, and Barriers",True,cdc_52337_DS1.md,cdc_52337.md,https://stacks.cdc.gov/view/cdc/52337,copied
50304,"Early Results of States’ Efforts to Support, Scale, and Sustain the National Diabetes Prevention Program",True,cdc_50304_DS1.md,cdc_50304.md,https://stacks.cdc.gov/view/cdc/50304,copied
49464,A Diabetic Retinopathy Screening Tool for Low-Income Adults in Mexico,False,cdc_49464_DS1.md,,https://stacks.cdc.gov/view/cdc/49464,excluded_not_public_domain
49460,"Using Geographical Convergence of Obesity, Cardiovascular Disease, and Type 2 Diabetes at the Neighborhood Level to Inform Policy and Practice",True,cdc_49460_DS1.md,cdc_49460.md,https://stacks.cdc.gov/view/cdc/49460,copied
49457,A Diabetes Pay-for-Performance Program and Risks of Cancer Incidence and Death in Patients With Type 2 Diabetes in Taiwan,True,cdc_49457_DS1.md,cdc_49457.md,https://stacks.cdc.gov/view/cdc/49457,copied
48070,A Framework for Implementing the National Diabetes Prevention Program in Los Angeles County,False,cdc_48070_DS1.md,,https://stacks.cdc.gov/view/cdc/48070,excluded_not_public_domain
47763,A Home-Based Type 2 Diabetes Self-Management Intervention in Rural Guatemala,True,cdc_47763_DS1.md,cdc_47763.md,https://stacks.cdc.gov/view/cdc/47763,copied
47462,"A Formative Evaluation of a Diabetes Prevention Program Using the RE-AIM Framework in a Learning Health Care System, Utah, 2013–2015",True,cdc_47462_DS1.md,cdc_47462.md,https://stacks.cdc.gov/view/cdc/47462,copied
46733,A Feasibility Study of Supply and Demand for Diabetes Prevention Programs in North Carolina,False,cdc_46733_DS1.md,,https://stacks.cdc.gov/view/cdc/46733,excluded_not_public_domain
40971,"Racial/Ethnic Disparities in Primary Care Quality Among Type 2 Diabetes Patients, Medical Expenditure Panel Survey, 2012",True,cdc_40971_DS1.md,cdc_40971.md,https://stacks.cdc.gov/view/cdc/40971,copied
40762,"Using Qualitative Methods to Understand Physical Activity and Weight Management Among Bangladeshis in New York City, 2013",False,cdc_40762_DS1.md,,https://stacks.cdc.gov/view/cdc/40762,excluded_not_public_domain
37180,"A Randomized Controlled Trial Translating the Diabetes Prevention Program to a University Worksite, Ohio, 2012–2014",True,cdc_37180_DS1.md,cdc_37180.md,https://stacks.cdc.gov/view/cdc/37180,copied
36133,"The State of Evaluation Research on Food Policies to Reduce Obesity and Diabetes Among Adults in the United States, 2000–2011",True,cdc_36133_DS1.md,cdc_36133.md,https://stacks.cdc.gov/view/cdc/36133,copied
35567,Long-Term Impact of a Community Health Worker Intervention on Diabetes Control in American Samoa,True,cdc_35567_DS1.md,cdc_35567.md,https://stacks.cdc.gov/view/cdc/35567,copied
31366,"Evaluating Diabetes Mobile Applications for Health Literate Designs and Functionality, 2014",True,cdc_31366_DS1.md,cdc_31366.md,https://stacks.cdc.gov/view/cdc/31366,copied
29611,"A Comparison of Cardiometabolic Risk Factors in Households in Rural Uganda With and Without a Resident With Type 2 Diabetes, 2012–2013",True,cdc_29611_DS1.md,cdc_29611.md,https://stacks.cdc.gov/view/cdc/29611,copied
26741,Exploring Better Links Between Clinics and Communities to Improve Population Health,True,cdc_26741_DS1.md,cdc_26741.md,https://stacks.cdc.gov/view/cdc/26741,copied
26740,"Factors Associated With Daily Consumption of Sugar-Sweetened Beverages Among Adult Patients at Four Federally Qualified Health Centers, Bronx, New York, 2013",True,cdc_26740_DS1.md,cdc_26740.md,https://stacks.cdc.gov/view/cdc/26740,copied
26402,Ohio Primary Health Care Providers’ Practices and Attitudes Regarding Screening Women With Prior Gestational Diabetes for Type 2 Diabetes Mellitus — 2010,True,cdc_26402_DS1.md,cdc_26402.md,https://stacks.cdc.gov/view/cdc/26402,copied
26463,"Blood Glucose Screening Rates Among Minnesota Adults With Hypertension, Behavioral Risk Factor Surveillance System, 2011",False,cdc_26463_DS1.md,,https://stacks.cdc.gov/view/cdc/26463,excluded_not_public_domain
26132,"Trends in Diabetes and Cardiometabolic Conditions in a Canadian First Nation Community, 2002–2003 to 2011–2012",False,cdc_26132_DS1.md,,https://stacks.cdc.gov/view/cdc/26132,excluded_not_public_domain
24740,"The Geography of Diabetes by Census Tract in a Large Sample of Insured Adults in King County, Washington, 2005–2006",True,cdc_24740_DS1.md,cdc_24740.md,https://stacks.cdc.gov/view/cdc/24740,copied
24402,"Implementation and Outcomes of the New York State YMCA Diabetes Prevention Program: A Multisite Community-Based Translation, 2010–2012",True,cdc_24402_DS1.md,cdc_24402.md,https://stacks.cdc.gov/view/cdc/24402,copied
23491,A Self-Management Intervention for African Americans With Comorbid Diabetes and Hypertension: A Pilot Randomized Controlled Trial,False,cdc_23491_DS1.md,,https://stacks.cdc.gov/view/cdc/23491,excluded_not_public_domain
22055,Diabetes Prevention in Hispanics: Report From a Randomized Controlled Trial,False,cdc_22055_DS1.md,,https://stacks.cdc.gov/view/cdc/22055,excluded_not_public_domain
21008,"Gestational Age, Infant Birth Weight, and Subsequent Risk of Type 2 Diabetes in Mothers: Nurses’ Health Study II",True,cdc_21008_DS1.md,cdc_21008.md,https://stacks.cdc.gov/view/cdc/21008,copied
19628,Designing a Natural Experiment to Evaluate a National Health Care–Community Partnership to Prevent Type 2 Diabetes,True,cdc_19628_DS1.md,cdc_19628.md,https://stacks.cdc.gov/view/cdc/19628,copied
19714,Lasting Effects of a 2-Year Diabetes Self-Management Support Intervention: Outcomes at 1-Year Follow-Up,True,cdc_19714_DS1.md,cdc_19714.md,https://stacks.cdc.gov/view/cdc/19714,copied
19713,"South Asian American Perspectives on Overweight, Obesity, and the Relationship Between Weight and Health",True,cdc_19713_DS1.md,cdc_19713.md,https://stacks.cdc.gov/view/cdc/19713,copied
19711,"Independent Association of Waist Circumference With Hypertension and Diabetes in African American Women, South Carolina, 2007–2009",True,cdc_19711_DS1.md,cdc_19711.md,https://stacks.cdc.gov/view/cdc/19711,copied
19766,Missed Opportunities for Providing Low-Fat Dietary Advice to People With Diabetes,True,cdc_19766_DS1.md,cdc_19766.md,https://stacks.cdc.gov/view/cdc/19766,copied
19744,Cost-Effectiveness Analysis of a Community Health Worker Intervention for Low-Income Hispanic Adults with Diabetes,True,cdc_19744_DS1.md,cdc_19744.md,https://stacks.cdc.gov/view/cdc/19744,copied
20595,Forecasting Diabetes Prevalence in California: A Microsimulation,True,cdc_20595_DS1.md,cdc_20595.md,https://stacks.cdc.gov/view/cdc/20595,copied
20541,"Prevalence of Diabetes and Impaired Fasting Glucose in Chinese Adults, China National Nutrition and Health Survey, 2002",True,cdc_20541_DS1.md,cdc_20541.md,https://stacks.cdc.gov/view/cdc/20541,copied
20499,"Cost-Effectiveness Analysis of Efforts to Reduce Risk of Type 2 Diabetes and Cardiovascular Disease in Southwestern Pennsylvania, 2005-2007",True,cdc_20499_DS1.md,cdc_20499.md,https://stacks.cdc.gov/view/cdc/20499,copied
20487,"Identifying Populations at High Risk for Diabetes With the Behavioral Risk Factor Surveillance System, Rhode Island, 2003",True,cdc_20487_DS1.md,cdc_20487.md,https://stacks.cdc.gov/view/cdc/20487,copied
20446,"Pedometer Use Among Adults at High Risk of Type 2 Diabetes, Finland, 2007-2008",True,cdc_20446_DS1.md,cdc_20446.md,https://stacks.cdc.gov/view/cdc/20446,copied
20422,Factors Predicting Glycemic Control in Middle-Aged and Older Adults With Type 2 Diabetes,True,cdc_20422_DS1.md,cdc_20422.md,https://stacks.cdc.gov/view/cdc/20422,copied
20408,A Diabetes Self-Management Program Designed for Urban American Indians,True,cdc_20408_DS1.md,cdc_20408.md,https://stacks.cdc.gov/view/cdc/20408,copied
20369,A Socioeconomic Analysis of Obesity and Diabetes in New York City,True,cdc_20369_DS1.md,cdc_20369.md,https://stacks.cdc.gov/view/cdc/20369,copied
4161,"The Culture, Community, and Science of Type 2 Diabetes Prevention in the US Associated Pacific Islands",True,cdc_4161_DS1.md,cdc_4161.md,https://stacks.cdc.gov/view/cdc/4161,copied
